Date,Product_ID,Product_Name,Product_Category,Brand,Season,Is_Festival,Sales_Multiplier,Units_Sold,Revenue,Net_Profit,Year,Month,Week,Day,DayOfWeek,Quarter,Weekend,Lag_1,Lag_7,Lag_30,Rolling_7,Rolling_30,Demand_Growth
2024-01-01,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,126,1511874.0,229275.81,2024,1,1,1,0,1,0,,,,126.0,126.0,0.0
2024-01-02,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,49,587951.0,99486.19,2024,1,1,2,1,1,0,126.0,,,87.5,87.5,-0.6111111111111112
2024-01-03,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,140,1679860.0,243474.18,2024,1,1,3,2,1,0,49.0,,,105.0,105.0,1.8571428571428572
2024-01-04,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,139,1667861.0,248067.46000000002,2024,1,1,4,3,1,0,140.0,,,113.5,113.5,-0.0071428571428571175
2024-01-05,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,35,419965.0,68617.12,2024,1,1,5,4,1,0,139.0,,,97.8,97.8,-0.7482014388489209
2024-01-06,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,145,1739855.0,290866.63,2024,1,1,6,5,1,1,35.0,,,105.66666666666667,105.66666666666667,3.1428571428571432
2024-01-07,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,83,995917.0,146016.46,2024,1,1,7,6,1,1,145.0,,,102.42857142857143,102.42857142857143,-0.4275862068965517
2024-01-08,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,82,983918.0,160880.01,2024,1,2,8,0,1,0,83.0,126.0,,96.14285714285714,99.875,-0.012048192771084376
2024-01-09,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,163,1955837.0,267683.74,2024,1,2,9,1,1,0,82.0,49.0,,112.42857142857143,106.88888888888889,0.9878048780487805
2024-01-10,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,35,419965.0,72674.77,2024,1,2,10,2,1,0,163.0,140.0,,97.42857142857143,99.7,-0.7852760736196319
2024-01-11,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,75,899925.0,155496.44,2024,1,2,11,3,1,0,35.0,139.0,,88.28571428571429,97.45454545454545,1.1428571428571428
2024-01-12,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,171,2051829.0,330664.07,2024,1,2,12,4,1,0,75.0,35.0,,107.71428571428571,103.58333333333333,1.2799999999999998
2024-01-13,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,143,1715857.0,257176.27,2024,1,2,13,5,1,1,171.0,145.0,,107.42857142857143,106.61538461538461,-0.16374269005847952
2024-01-14,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,99,1187901.0,187502.15,2024,1,2,14,6,1,1,143.0,83.0,,109.71428571428571,106.07142857142857,-0.3076923076923077
2024-01-15,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,85,1019915.0,119613.47,2024,1,3,15,0,1,0,99.0,82.0,,110.14285714285714,104.66666666666667,-0.14141414141414144
2024-01-16,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,118,1415882.0,250773.7,2024,1,3,16,1,1,0,85.0,163.0,,103.71428571428571,105.5,0.388235294117647
2024-01-17,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,190,2279810.0,337204.44,2024,1,3,17,2,1,0,118.0,35.0,,125.85714285714286,110.47058823529412,0.6101694915254237
2024-01-18,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,81,971919.0,126745.37,2024,1,3,18,3,1,0,190.0,75.0,,126.71428571428571,108.83333333333333,-0.5736842105263158
2024-01-19,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,181,2171819.0,308318.66000000003,2024,1,3,19,4,1,0,81.0,171.0,,128.14285714285714,112.63157894736842,1.234567901234568
2024-01-20,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,50,599950.0,97738.18,2024,1,3,20,5,1,1,181.0,143.0,,114.85714285714286,109.5,-0.7237569060773481
2024-01-22,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,40,479960.0,73214.08,2024,1,4,22,0,1,0,50.0,99.0,,106.42857142857143,106.19047619047619,-0.19999999999999996
2024-01-24,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,43,515957.0,89213.09,2024,1,4,24,2,1,0,40.0,85.0,,100.42857142857143,103.31818181818181,0.07499999999999996
2024-01-25,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,69,827931.0,94604.1,2024,1,4,25,3,1,0,43.0,118.0,,93.42857142857143,101.82608695652173,0.6046511627906976
2024-01-26,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,Yes,1.05,135,1619865.0,236901.89,2024,1,4,26,4,1,0,69.0,190.0,,85.57142857142857,103.20833333333333,0.9565217391304348
2024-01-27,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,131,1571869.0,206946.56,2024,1,4,27,5,1,1,135.0,81.0,,92.71428571428571,104.32,-0.029629629629629672
2024-01-28,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,163,1955837.0,259045.12000000002,2024,1,4,28,6,1,1,131.0,181.0,,90.14285714285714,106.57692307692308,0.2442748091603053
2024-01-29,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,35,419965.0,49794.48,2024,1,5,29,0,1,0,163.0,50.0,,88.0,103.92592592592592,-0.7852760736196319
2024-01-30,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,33,395967.0,60582.13,2024,1,5,30,1,1,0,35.0,40.0,,87.0,101.39285714285714,-0.05714285714285716
2024-01-31,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.95,37,443963.0,65344.86,2024,1,5,31,2,1,0,33.0,43.0,,86.14285714285714,99.17241379310344,0.1212121212121211
2024-02-01,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,42,503958.0,62322.96,2024,2,5,1,3,1,0,37.0,69.0,,82.28571428571429,97.26666666666667,0.1351351351351351
2024-02-02,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,79,947921.0,152352.40000000002,2024,2,5,2,4,1,0,42.0,135.0,126.0,74.28571428571429,95.7,0.8809523809523809
2024-02-03,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,84,1007916.0,139012.87,2024,2,5,3,5,1,1,79.0,131.0,49.0,67.57142857142857,96.86666666666666,0.06329113924050622
2024-02-04,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,133,1595867.0,247663.59,2024,2,5,4,6,1,1,84.0,163.0,140.0,63.285714285714285,96.63333333333334,0.5833333333333333
2024-02-05,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,83,995917.0,142528.16999999998,2024,2,6,5,0,1,0,133.0,35.0,139.0,70.14285714285714,94.76666666666667,-0.37593984962406013
2024-02-06,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,84,1007916.0,161884.13,2024,2,6,6,1,1,0,83.0,33.0,35.0,77.42857142857143,96.4,0.012048192771084265
2024-02-07,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,132,1583868.0,226839.52000000002,2024,2,6,7,2,1,0,84.0,37.0,145.0,91.0,95.96666666666667,0.5714285714285714
2024-02-08,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,35,419965.0,62664.6,2024,2,6,8,3,1,0,132.0,42.0,83.0,90.0,94.36666666666666,-0.7348484848484849
2024-02-09,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,85,1019915.0,196595.58000000002,2024,2,6,9,4,1,0,35.0,79.0,82.0,90.85714285714286,94.46666666666667,1.4285714285714284
2024-02-10,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,79,947921.0,147744.22999999998,2024,2,6,10,5,1,1,85.0,84.0,163.0,90.14285714285714,91.66666666666667,-0.07058823529411762
2024-02-11,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,203,2435797.0,364627.55,2024,2,6,11,6,1,1,79.0,133.0,35.0,100.14285714285714,97.26666666666667,1.5696202531645569
2024-02-12,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,157,1883843.0,300844.72,2024,2,7,12,0,1,0,203.0,83.0,75.0,110.71428571428571,100.0,-0.22660098522167482
2024-02-13,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,185,2219815.0,313298.31,2024,2,7,13,1,1,0,157.0,84.0,171.0,125.14285714285714,100.46666666666667,0.17834394904458595
2024-02-14,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,104,1247896.0,146580.9,2024,2,7,14,2,1,0,185.0,132.0,143.0,121.14285714285714,99.16666666666667,-0.4378378378378378
2024-02-15,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,38,455962.0,69369.98,2024,2,7,15,3,1,0,104.0,35.0,99.0,121.57142857142857,97.13333333333334,-0.6346153846153846
2024-02-16,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,122,1463878.0,196983.9,2024,2,7,16,4,1,0,38.0,85.0,85.0,126.85714285714286,98.36666666666666,2.210526315789474
2024-02-17,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,210,2519790.0,375479.41,2024,2,7,17,5,1,1,122.0,79.0,118.0,145.57142857142858,101.43333333333334,0.721311475409836
2024-02-18,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,134,1607866.0,241405.49,2024,2,7,18,6,1,1,210.0,203.0,190.0,135.71428571428572,99.56666666666666,-0.36190476190476195
2024-02-19,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,221,2651779.0,403341.22,2024,2,8,19,0,1,0,134.0,157.0,81.0,144.85714285714286,104.23333333333333,0.6492537313432836
2024-02-20,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,83,995917.0,142927.37,2024,2,8,20,1,1,0,221.0,185.0,181.0,130.28571428571428,100.96666666666667,-0.6244343891402715
2024-02-21,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,49,587951.0,96178.94,2024,2,8,21,2,1,0,83.0,104.0,50.0,122.42857142857143,100.93333333333334,-0.40963855421686746
2024-02-22,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,76,911924.0,132478.84,2024,2,8,22,3,1,0,49.0,38.0,40.0,127.85714285714286,102.13333333333334,0.5510204081632653
2024-02-23,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,93,1115907.0,169749.37,2024,2,8,23,4,1,0,76.0,122.0,43.0,123.71428571428571,103.8,0.2236842105263157
2024-02-24,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,49,587951.0,85458.26,2024,2,8,24,5,1,1,93.0,210.0,69.0,100.71428571428571,103.13333333333334,-0.4731182795698925
2024-02-25,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,182,2183818.0,378653.02,2024,2,8,25,6,1,1,49.0,134.0,135.0,107.57142857142857,104.7,2.7142857142857144
2024-02-26,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,225,2699775.0,374203.77,2024,2,9,26,0,1,0,182.0,221.0,131.0,108.14285714285714,107.83333333333333,0.2362637362637363
2024-02-28,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,91,1091909.0,156855.38,2024,2,9,28,2,1,0,225.0,83.0,163.0,109.28571428571429,105.43333333333334,-0.5955555555555556
2024-02-29,PR001,Samsung Galaxy Series,Electronics,Samsung,Winter,No,0.98,91,1091909.0,165373.5,2024,2,9,29,3,1,0,91.0,49.0,35.0,115.28571428571429,107.3,0.0
2024-03-01,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,73,875927.0,119431.20999999999,2024,3,9,1,4,1,0,91.0,76.0,33.0,114.85714285714286,108.63333333333334,-0.19780219780219777
2024-03-03,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,102,1223898.0,188537.69,2024,3,9,3,6,1,1,73.0,93.0,37.0,116.14285714285714,110.8,0.3972602739726028
2024-03-04,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,36,431964.0,49503.16,2024,3,10,4,0,1,0,102.0,49.0,42.0,114.28571428571429,110.6,-0.6470588235294117
2024-03-05,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,129,1547871.0,207211.1,2024,3,10,5,1,1,0,36.0,182.0,79.0,106.71428571428571,112.26666666666667,2.5833333333333335
2024-03-06,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,73,875927.0,121869.1,2024,3,10,6,2,1,0,129.0,225.0,84.0,85.0,111.9,-0.43410852713178294
2024-03-07,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,41,491959.0,80314.9,2024,3,10,7,3,1,0,73.0,91.0,133.0,77.85714285714286,108.83333333333333,-0.4383561643835616
2024-03-08,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,87,1043913.0,137011.37,2024,3,10,8,4,1,0,41.0,91.0,83.0,77.28571428571429,108.96666666666667,1.1219512195121952
2024-03-09,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,131,1571869.0,256463.1,2024,3,10,9,5,1,1,87.0,73.0,84.0,85.57142857142857,110.53333333333333,0.5057471264367817
2024-03-10,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,133,1595867.0,230858.74,2024,3,10,10,6,1,1,131.0,102.0,132.0,90.0,110.56666666666666,0.01526717557251911
2024-03-11,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,81,971919.0,121742.77,2024,3,11,11,0,1,0,133.0,36.0,35.0,96.42857142857143,112.1,-0.39097744360902253
2024-03-12,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,126,1511874.0,214044.27,2024,3,11,12,1,1,0,81.0,129.0,85.0,96.0,113.46666666666667,0.5555555555555556
2024-03-13,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,37,443963.0,79813.48,2024,3,11,13,2,1,0,126.0,73.0,79.0,90.85714285714286,112.06666666666666,-0.7063492063492063
2024-03-14,PR001,Samsung Galaxy Series,Electronics,Samsung,Summer,No,1.02,117,1403883.0,165610.31,2024,3,11,14,3,1,0,37.0,41.0,203.0,101.71428571428571,109.2,2.1621621621621623
