Warehouse_ID,Warehouse_Name,City,State,Region,Warehouse_Type,Warehouse_Capacity_Units,Storage_Area_sqft,Employee_Count,Dock_Count,Fleet_Size,Operating_Cost_Index,Latitude,Longitude,Opening_Year
WH001,Delhi Mega Hub,Delhi,Delhi,North,Mega,320000,420000,420,24,110,1.25,28.6139,77.209,2015
WH002,Mumbai Gateway Hub,Mumbai,Maharashtra,West,Mega,340000,450000,450,26,120,1.3,19.076,72.8777,2014
WH003,Bengaluru Tech Hub,Bengaluru,Karnataka,South,Large,220000,290000,260,18,80,1.2,12.9716,77.5946,2017
WH004,Hyderabad Pharma Hub,Hyderabad,Telangana,South,Large,210000,275000,240,16,75,1.1,17.385,78.4867,2016
WH005,Chennai Port Hub,Chennai,Tamil Nadu,South,Medium,150000,200000,170,14,55,1.15,13.0827,80.2707,2018
WH006,Kolkata East Hub,Kolkata,West Bengal,East,Medium,140000,185000,160,12,50,1.05,22.5726,88.3639,2018
WH007,Ahmedabad Manufacturing Hub,Ahmedabad,Gujarat,West,Medium,130000,170000,145,12,48,1.0,23.0225,72.5714,2019
WH008,Pune Automotive Hub,Pune,Maharashtra,West,Small,85000,120000,95,8,30,1.08,18.5204,73.8567,2020
WH009,Lucknow Regional Hub,Lucknow,Uttar Pradesh,North,Small,70000,100000,75,6,24,0.9,26.8467,80.9462,2021
WH010,Guwahati North-East Hub,Guwahati,Assam,North-East,Small,65000,90000,65,6,22,1.18,26.1445,91.7362,2022
