Date,Calendar_Year,Financial_Year,Quarter,Month_Number,Month_Name,ISO_Week,Day_of_Month,Day_Name,Is_Weekend,Season,Is_Festival,Festival_Name,Sales_Multiplier
2024-01-01,2024,FY2023-24,1,1,January,1,1,Monday,No,Winter,No,,0.95
2024-01-02,2024,FY2023-24,1,1,January,1,2,Tuesday,No,Winter,No,,0.95
2024-01-03,2024,FY2023-24,1,1,January,1,3,Wednesday,No,Winter,No,,0.95
2024-01-04,2024,FY2023-24,1,1,January,1,4,Thursday,No,Winter,No,,0.95
2024-01-05,2024,FY2023-24,1,1,January,1,5,Friday,No,Winter,No,,0.95
2024-01-06,2024,FY2023-24,1,1,January,1,6,Saturday,Yes,Winter,No,,0.95
2024-01-07,2024,FY2023-24,1,1,January,1,7,Sunday,Yes,Winter,No,,0.95
2024-01-08,2024,FY2023-24,1,1,January,2,8,Monday,No,Winter,No,,0.95
2024-01-09,2024,FY2023-24,1,1,January,2,9,Tuesday,No,Winter,No,,0.95
2024-01-10,2024,FY2023-24,1,1,January,2,10,Wednesday,No,Winter,No,,0.95
2024-01-11,2024,FY2023-24,1,1,January,2,11,Thursday,No,Winter,No,,0.95
2024-01-12,2024,FY2023-24,1,1,January,2,12,Friday,No,Winter,No,,0.95
2024-01-13,2024,FY2023-24,1,1,January,2,13,Saturday,Yes,Winter,No,,0.95
2024-01-14,2024,FY2023-24,1,1,January,2,14,Sunday,Yes,Winter,No,,0.95
2024-01-15,2024,FY2023-24,1,1,January,3,15,Monday,No,Winter,No,,0.95
2024-01-16,2024,FY2023-24,1,1,January,3,16,Tuesday,No,Winter,No,,0.95
2024-01-17,2024,FY2023-24,1,1,January,3,17,Wednesday,No,Winter,No,,0.95
2024-01-18,2024,FY2023-24,1,1,January,3,18,Thursday,No,Winter,No,,0.95
2024-01-19,2024,FY2023-24,1,1,January,3,19,Friday,No,Winter,No,,0.95
2024-01-20,2024,FY2023-24,1,1,January,3,20,Saturday,Yes,Winter,No,,0.95
2024-01-21,2024,FY2023-24,1,1,January,3,21,Sunday,Yes,Winter,No,,0.95
2024-01-22,2024,FY2023-24,1,1,January,4,22,Monday,No,Winter,No,,0.95
2024-01-23,2024,FY2023-24,1,1,January,4,23,Tuesday,No,Winter,No,,0.95
2024-01-24,2024,FY2023-24,1,1,January,4,24,Wednesday,No,Winter,No,,0.95
2024-01-25,2024,FY2023-24,1,1,January,4,25,Thursday,No,Winter,No,,0.95
2024-01-26,2024,FY2023-24,1,1,January,4,26,Friday,No,Winter,Yes,Republic Day,1.05
2024-01-27,2024,FY2023-24,1,1,January,4,27,Saturday,Yes,Winter,No,,0.95
2024-01-28,2024,FY2023-24,1,1,January,4,28,Sunday,Yes,Winter,No,,0.95
2024-01-29,2024,FY2023-24,1,1,January,5,29,Monday,No,Winter,No,,0.95
2024-01-30,2024,FY2023-24,1,1,January,5,30,Tuesday,No,Winter,No,,0.95
2024-01-31,2024,FY2023-24,1,1,January,5,31,Wednesday,No,Winter,No,,0.95
2024-02-01,2024,FY2023-24,1,2,February,5,1,Thursday,No,Winter,No,,0.98
2024-02-02,2024,FY2023-24,1,2,February,5,2,Friday,No,Winter,No,,0.98
2024-02-03,2024,FY2023-24,1,2,February,5,3,Saturday,Yes,Winter,No,,0.98
2024-02-04,2024,FY2023-24,1,2,February,5,4,Sunday,Yes,Winter,No,,0.98
2024-02-05,2024,FY2023-24,1,2,February,6,5,Monday,No,Winter,No,,0.98
2024-02-06,2024,FY2023-24,1,2,February,6,6,Tuesday,No,Winter,No,,0.98
2024-02-07,2024,FY2023-24,1,2,February,6,7,Wednesday,No,Winter,No,,0.98
